"State","DivisionId","DivisionAb","DivisionName","PartyAb","CandidateSurname","Votes"
"ACT",318,"BEAN","Bean","AUP","FAULKNER",2722
"ACT",318,"BEAN","Bean","LP","COCKS",29223
"ACT",318,"BEAN","Bean","GAP","RUSHTON",929
"ACT",318,"BEAN","Bean","LDP","DONNELLY",2540
"ACT",318,"BEAN","Bean","GRN","DAVIS",12168
"ACT",318,"BEAN","Bean","UAPP","HANLEY",2227
"ACT",318,"BEAN","Bean","ALP","SMITH",35447
"ACT",318,"BEAN","Bean","","Informal",5043
"ACT",318,"BEAN","Bean","IND","CHRISTIE",7683
"ACT",101,"CANB","Canberra","AUP","KNIGHT",1784
"ACT",101,"CANB","Canberra","GRN","HOLLO",20144
"ACT",101,"CANB","Canberra","","Informal",1904
"ACT",101,"CANB","Canberra","UAPP","DE MAINE",1361
"ACT",101,"CANB","Canberra","LP","ZAKI",24063
"ACT",101,"CANB","Canberra","ALP","PAYNE",34989
"ACT",101,"CANB","Canberra","IND","BOHM",4062
"ACT",102,"FENN","Fenner","","Informal",2669
"ACT",102,"FENN","Fenner","ALP","LEIGH",38864
"ACT",102,"FENN","Fenner","UAPP","HODGSON",3529
"ACT",102,"FENN","Fenner","GRN","BRADDOCK",12492
"ACT",102,"FENN","Fenner","LP","CASTLEY",30025
"ACT",102,"FENN","Fenner","AUP","RATLHAGANE",1723
"NSW",103,"BANK","Banks","ALP","GAMBIAN",33341
"NSW",103,"BANK","Banks","UAPP","WRIGHT",2029
"NSW",103,"BANK","Banks","AJP","THAKUR",1688
"NSW",103,"BANK","Banks","LP","COLEMAN",46709
"NSW",103,"BANK","Banks","CDP","HO",2624
"NSW",103,"BANK","Banks","","Informal",7115
"NSW",103,"BANK","Banks","GRN","DRAGONE",5339
"NSW",104,"BART","Barton","","Informal",9473
"NSW",104,"BART","Barton","ON","POLLARD",3288
"NSW",104,"BART","Barton","GRN","PARISSIS",8123
"NSW",104,"BART","Barton","ALP","BURNEY",44227
"NSW",104,"BART","Barton","UAPP","LIU",2057
"NSW",104,"BART","Barton","LP","SHRESTHA",30109
"NSW",104,"BART","Barton","CDP","SUSILO",2103
"NSW",105,"BENN","Bennelong","LP","ALEXANDER",48942
"NSW",105,"BENN","Bennelong","CDP","WORSLEY",3588
"NSW",105,"BENN","Bennelong","","Informal",5237
"NSW",105,"BENN","Bennelong","GRN","ZHANG",9116
"NSW",105,"BENN","Bennelong","ALP","OWLER",32769
"NSW",105,"BENN","Bennelong","UAPP","MARKS",1890
"NSW",106,"BERO","Berowra","","Informal",6423
"NSW",106,"BERO","Berowra","IND","GALLAGHER",2104
"NSW",106,"BERO","Berowra","IND","WOODWARD",495
"NSW",106,"BERO","Berowra","FUT","CLARKE",1465
"NSW",106,"BERO","Berowra","SPP","THOMAS",1425
"NSW",106,"BERO","Berowra","ALP","GOMPERTZ",19821
"NSW",106,"BERO","Berowra","GRN","TAN",11157
"NSW",106,"BERO","Berowra","UAPP","McLACHLAN",1576
"NSW",106,"BERO","Berowra","LP","LEESER",53741
"NSW",106,"BERO","Berowra","CDP","TAYLOR",2163
"NSW",107,"BLAX","Blaxland","","Informal",12401
"NSW",107,"BLAX","Blaxland","GRN","ROONEY",4329
"NSW",107,"BLAX","Blaxland","ALP","CLARE",46689
"NSW",107,"BLAX","Blaxland","UAPP","ASHRAF",2328
"NSW",107,"BLAX","Blaxland","LP","GUNEY",23289
"NSW",107,"BLAX","Blaxland","CDP","ROWE",4173
"NSW",108,"BRFD","Bradfield","","Informal",4056
"NSW",108,"BRFD","Bradfield","GRN","ADAMS",13177
"NSW",108,"BRFD","Bradfield","ALP","HAVILAND",20361
"NSW",108,"BRFD","Bradfield","SPP","MOLLOY",2826
"NSW",108,"BRFD","Bradfield","UAPP","VERSACE",1772
"NSW",108,"BRFD","Bradfield","LP","FLETCHER",58007
"NSW",109,"CALA","Calare","","Informal",6251
"NSW",109,"CALA","Calare","ASP","ROMANO",18129
"NSW",109,"CALA","Calare","NP","GEE",46632
"NSW",109,"CALA","Calare","GRN","LUKE",6315
"NSW",109,"CALA","Calare","ALP","JENNINGS",23074
"NSW",109,"CALA","Calare","LDP","BISGROVE",4775
"NSW",109,"CALA","Calare","UAPP","CAMERON",3371
"NSW",109,"CALA","Calare","CDP","CHEN",1992
"NSW",111,"CHIF","Chifley","","Informal",9728
"NSW",111,"CHIF","Chifley","IND","KHAN",1581
"NSW",111,"CHIF","Chifley","GRN","ROBERTSON",4604
"NSW",111,"CHIF","Chifley","ALP","HUSIC",49418
"NSW",111,"CHIF","Chifley","UAPP","O'CONNOR",4133
"NSW",111,"CHIF","Chifley","LP","CHETTIPALLY",25411
"NSW",111,"CHIF","Chifley","CDP","GREEN",5859
"NSW",112,"COOK","Cook","","Informal",6141
"NSW",112,"COOK","Cook","ON","CAMERON",3277
"NSW",112,"COOK","Cook","GRN","DOIG",6406
"NSW",112,"COOK","Cook","ALP","O'BRIEN",21718
"NSW",112,"COOK","Cook","UAPP","McSWEYN",1135
"NSW",112,"COOK","Cook","LP","MORRISON",59895
"NSW",112,"COOK","Cook","CDP","BOLLING",1041
"NSW",112,"COOK","Cook","FACN","KELLY",551
"NSW",113,"COWP","Cowper","","Informal",8898
"NSW",113,"COWP","Cowper","IND","OAKESHOTT",25847
"NSW",113,"COWP","Cowper","IND","GREEN",1451
"NSW",113,"COWP","Cowper","NP","CONAGHAN",49668
"NSW",113,"COWP","Cowper","ALP","WOODWARD",14551
"NSW",113,"COWP","Cowper","GRN","EDWARDS",6264
"NSW",113,"COWP","Cowper","UAPP","STEWART",3188
"NSW",113,"COWP","Cowper","AJP","PEARCE",2176
"NSW",113,"COWP","Cowper","CDP","MEADS",2383
"NSW",114,"CUNN","Cunningham","","Informal",6080
"NSW",114,"CUNN","Cunningham","NCP","FLANAGAN",1213
"NSW",114,"CUNN","Cunningham","SPP","GILL",2340
"NSW",114,"CUNN","Cunningham","GRN","HUXTABLE",15196
"NSW",114,"CUNN","Cunningham","ALP","BIRD",46923
"NSW",114,"CUNN","Cunningham","UAPP","YOUNGER",3828
"NSW",114,"CUNN","Cunningham","LP","ATLEE",31177
"NSW",115,"DOBE","Dobell","","Informal",6439
"NSW",115,"DOBE","Dobell","IND","STEPHENSON",3176
"NSW",115,"DOBE","Dobell","GRN","RICKARD",7579
"NSW",115,"DOBE","Dobell","ALP","McBRIDE",42093
"NSW",115,"DOBE","Dobell","UAPP","HARPLEY-CARR",5411
"NSW",115,"DOBE","Dobell","LP","PILON",41326
"NSW",115,"DOBE","Dobell","CDP","GRUNDY",1868
"NSW",117,"EMON","Eden-Monaro","","Informal",7246
"NSW",117,"EMON","Eden-Monaro","IND","SHELDON",2247
"NSW",117,"EMON","Eden-Monaro","NP","WADE",6899
"NSW",117,"EMON","Eden-Monaro","GRN","McGINLAY",8715
"NSW",117,"EMON","Eden-Monaro","ALP","KELLY",38878
"NSW",117,"EMON","Eden-Monaro","UAPP","SINGH",2748
"NSW",117,"EMON","Eden-Monaro","LP","KOTVOJS",36732
"NSW",117,"EMON","Eden-Monaro","IND","HOLGATE",1883
"NSW",117,"EMON","Eden-Monaro","CDP","HARRIS",1157
"NSW",118,"FARR","Farrer","","Informal",9768
"NSW",118,"FARR","Farrer","IND","MILLS",1255
"NSW",118,"FARR","Farrer","IND","MACK",19926
"NSW",118,"FARR","Farrer","GRN","MOSS",4529
"NSW",118,"FARR","Farrer","UAPP","ROSE",4147
"NSW",118,"FARR","Farrer","LDP","ELLIS",1084
"NSW",118,"FARR","Farrer","ALP","DRABSCH",14236
"NSW",118,"FARR","Farrer","SPP","HAMILTON",1429
"NSW",118,"FARR","Farrer","LP","LEY",49316
"NSW",118,"FARR","Farrer","CDP","LANGFIELD",1327
"NSW",119,"FOWL","Fowler","","Informal",12624
"NSW",119,"FOWL","Fowler","GRN","LEE",4633
"NSW",119,"FOWL","Fowler","ALP","HAYES",45627
"NSW",119,"FOWL","Fowler","UAPP","JABBOUR",3624
"NSW",119,"FOWL","Fowler","LP","BLEWITT",25137
"NSW",119,"FOWL","Fowler","CDP","MOCANU",4643
"NSW",120,"GILM","Gilmore","NP","HODGKINSON",13462
"NSW",120,"GILM","Gilmore","ALP","PHILLIPS",38972
"NSW",120,"GILM","Gilmore","UAPP","LESLIGHT",3638
"NSW",120,"GILM","Gilmore","LP","MUNDINE",31427
"NSW",120,"GILM","Gilmore","IND","SCHULTZ",7585
"NSW",120,"GILM","Gilmore","CDP","KOLUKULAPALLY",1853
"NSW",120,"GILM","Gilmore","GRN","McCALLUM",10740
"NSW",120,"GILM","Gilmore","","Informal",5970
"NSW",121,"GRAY","Grayndler","","Informal",4258
"NSW",121,"GRAY","Grayndler","GRN","CASEY",21607
"NSW",121,"GRAY","Grayndler","FUT","MORELLO",2613
"NSW",121,"GRAY","Grayndler","ALP","ALBANESE",48728
"NSW",121,"GRAY","Grayndler","UAPP","KING-ORSBORN",1155
"NSW",121,"GRAY","Grayndler","LP","HENDERSON",20846
"NSW",121,"GRAY","Grayndler","CDP","CAO",865
"NSW",122,"GREE","Greenway","","Informal",6925
"NSW",122,"GREE","Greenway","ABFA","McFARLAND",2072
"NSW",122,"GREE","Greenway","GRN","ATKINS",5256
"NSW",122,"GREE","Greenway","ALP","ROWLAND",43901
"NSW",122,"GREE","Greenway","UAPP","FEENEY",2853
"NSW",122,"GREE","Greenway","LP","GREEN",38759
"NSW",122,"GREE","Greenway","CDP","RAJADURAI",2666
"NSW",124,"HUGH","Hughes","","Informal",5208
"NSW",124,"HUGH","Hughes","GRN","SHAKESPEARE",6631
"NSW",124,"HUGH","Hughes","ALP","STEINWALL",29088
"NSW",124,"HUGH","Hughes","UAPP","KEEP",2366
"NSW",124,"HUGH","Hughes","AJP","CONSTABLE",2439
"NSW",124,"HUGH","Hughes","LP","KELLY",50763
"NSW",124,"HUGH","Hughes","IND","BRYAN",1988
"NSW",124,"HUGH","Hughes","CDP","LIU",2216
"NSW",125,"HUME","Hume","","Informal",7080
"NSW",125,"HUME","Hume","GRN","POWELL",5224
"NSW",125,"HUME","Hume","ALP","CHAMPION",27223
"NSW",125,"HUME","Hume","UAPP","ABDO",4939
"NSW",125,"HUME","Hume","LP","TAYLOR",54589
"NSW",125,"HUME","Hume","CDP","NEBAUER",1906
"NSW",125,"HUME","Hume","IND","KINGSTON",6068
"NSW",125,"HUME","Hume","FACN","HARGRAVES",2493
"NSW",126,"HUNT","Hunter","","Informal",10049
"NSW",126,"HUNT","Hunter","ON","BONDS",22029
"NSW",126,"HUNT","Hunter","NP","ANGUS",23942
"NSW",126,"HUNT","Hunter","SEP","BODDY",687
"NSW",126,"HUNT","Hunter","GRN","MURRAY",7007
"NSW",126,"HUNT","Hunter","ALP","FITZGIBBON",38331
"NSW",126,"HUNT","Hunter","UAPP","DAVIES",4407
"NSW",126,"HUNT","Hunter","AJP","MURPHY",3267
"NSW",126,"HUNT","Hunter","CDP","STRETTON",2356
"NSW",127,"KSMI","Kingsford Smith","","Informal",5805
"NSW",127,"KSMI","Kingsford Smith","GRN","CRUZ",11418
"NSW",127,"KSMI","Kingsford Smith","FUT","JANSSON",1595
"NSW",127,"KSMI","Kingsford Smith","SPP","CAMPBELL",1346
"NSW",127,"KSMI","Kingsford Smith","ALP","THISTLETHWAITE",42629
"NSW",127,"KSMI","Kingsford Smith","UAPP","WATSON",1649
"NSW",127,"KSMI","Kingsford Smith","LP","WILMOT",34380
"NSW",127,"KSMI","Kingsford Smith","CDP","MANSON",1359
"NSW",128,"LIND","Lindsay","","Informal",12135
"NSW",128,"LIND","Lindsay","AFN","SALEAM",1372
"NSW",128,"LIND","Lindsay","GRN","BEST",4781
"NSW",128,"LIND","Lindsay","SPP","BROWN",1326
"NSW",128,"LIND","Lindsay","ALP","BEAMER",34690
"NSW",128,"LIND","Lindsay","UAPP","BUTTEL",2831
"NSW",128,"LIND","Lindsay","IND","TYNDALL",2785
"NSW",128,"LIND","Lindsay","LP","McINTOSH",45247
"NSW",128,"LIND","Lindsay","FACN","LEES",2374
"NSW",128,"LIND","Lindsay","CDP","MOODY-BASEDOW",1997
"NSW",130,"LYNE","Lyne","","Informal",10096
"NSW",130,"LYNE","Lyne","AWP","CARUANA",1676
"NSW",130,"LYNE","Lyne","GRN","WATSON",6589
"NSW",130,"LYNE","Lyne","NP","GILLESPIE",49934
"NSW",130,"LYNE","Lyne","ALP","COSTA",24371
"NSW",130,"LYNE","Lyne","UAPP","BOURKE",4098
"NSW",130,"LYNE","Lyne","LDP","McCRAE",5864
"NSW",130,"LYNE","Lyne","CDP","ZHAO",1493
"NSW",130,"LYNE","Lyne","FACN","GOLDSPRING",1986
"NSW",130,"LYNE","Lyne","IND","MILLER",5169
"NSW",131,"MACA","Macarthur","","Informal",9663
"NSW",131,"MACA","Macarthur","ON","NORMAN",8555
"NSW",131,"MACA","Macarthur","GRN","RIVERA",4397
"NSW",131,"MACA","Macarthur","ALP","FREELANDER",47539
"NSW",131,"MACA","Macarthur","UAPP","MURPHY",2506
"NSW",131,"MACA","Macarthur","AJP","STELLINO",2106
"NSW",131,"MACA","Macarthur","LP","MUNRO",30696
"NSW",131,"MACA","Macarthur","CDP","GENT",3705
"NSW",132,"MACK","Mackellar","","Informal",4857
"NSW",132,"MACK","Mackellar","GRN","WAWN",11283
"NSW",132,"MACK","Mackellar","SPP","DALY",2550
"NSW",132,"MACK","Mackellar","ALP","STEELE",16648
"NSW",132,"MACK","Mackellar","UAPP","LYON",2317
"NSW",132,"MACK","Mackellar","LP","FALINSKI",52088
"NSW",132,"MACK","Mackellar","IND","THOMPSON",11975
"NSW",132,"MACK","Mackellar","CDP","LEVETT",1401
"NSW",133,"MACQ","Macquarie","","Informal",4338
"NSW",133,"MACQ","Macquarie","ALP","TEMPLEMAN",37106
"NSW",133,"MACQ","Macquarie","GRN","LIU",8870
"NSW",133,"MACQ","Macquarie","UAPP","PETTITT",3877
"NSW",133,"MACQ","Macquarie","AJP","KEIGHTLEY",3611
"NSW",133,"MACQ","Macquarie","LP","RICHARDS",43487
"NSW",315,"MCMA","McMahon","GRN","O'NEILL",4218
"NSW",315,"MCMA","McMahon","ON","COMMANE",7046
"NSW",315,"MCMA","McMahon","","Informal",11731
"NSW",315,"MCMA","McMahon","CDP","FRANCIS",3008
"NSW",315,"MCMA","McMahon","ALP","BOWEN",39351
"NSW",315,"MCMA","McMahon","LP","SINGHA",28441
"NSW",315,"MCMA","McMahon","UAPP","WRIGHTSON",3329
"NSW",134,"MITC","Mitchell","","Informal",5234
"NSW",134,"MITC","Mitchell","GRN","MURPHY",7955
"NSW",134,"MITC","Mitchell","ALP","SELVARAJ",23618
"NSW",134,"MITC","Mitchell","UAPP","HOPPENBROUWER",2705
"NSW",134,"MITC","Mitchell","LP","HAWKE",61202
"NSW",134,"MITC","Mitchell","CDP","HALL",3156
"NSW",135,"NENG","New England","","Informal",7120
"NSW",135,"NENG","New England","IND","TABER",3702
"NSW",135,"NENG","New England","IND","BLAKESTER",13804
"NSW",135,"NENG","New England","NP","JOYCE",53348
"NSW",135,"NENG","New England","GRN","LONERGAN",4311
"NSW",135,"NENG","New England","ALP","LANGENBERG",12410
"NSW",135,"NENG","New England","UAPP","DUNCAN",4459
"NSW",135,"NENG","New England","IND","LEDGER",3071
"NSW",135,"NENG","New England","CDP","COLLINS",2215
"NSW",136,"NEWC","Newcastle","","Informal",6014
"NSW",136,"NEWC","Newcastle","GRN","MACKENZIE",16038
"NSW",136,"NEWC","Newcastle","ALP","CLAYDON",47137
"NSW",136,"NEWC","Newcastle","UAPP","SCULLY",3471
"NSW",136,"NEWC","Newcastle","LP","WARK",30107
"NSW",136,"NEWC","Newcastle","AJP","BROLLO",3300
"NSW",136,"NEWC","Newcastle","CDP","WISE",1928
"NSW",136,"NEWC","Newcastle","GAP","FUTTER",1086
"NSW",137,"NSYD","North Sydney","","Informal",4077
"NSW",137,"NSYD","North Sydney","GRN","KEOGH",13193
"NSW",137,"NSYD","North Sydney","SPP","GRAHAM",1831
"NSW",137,"NSYD","North Sydney","ALP","STONE",24289
"NSW",137,"NSYD","North Sydney","UAPP","VAGG",1249
"NSW",137,"NSYD","North Sydney","LP","ZIMMERMAN",50319
"NSW",137,"NSYD","North Sydney","IND","CHESTERFIELD-EVANS",4295
"NSW",137,"NSYD","North Sydney","CDP","VERNON",1660
"NSW",138,"PAGE","Page","IND","LEVINY",5240
"NSW",138,"PAGE","Page","NP","HOGAN",53672
"NSW",138,"PAGE","Page","GRN","REID",12634
"NSW",138,"PAGE","Page","ALP","DEEGAN",28507
"NSW",138,"PAGE","Page","UAPP","MUDGE",3460
"NSW",138,"PAGE","Page","AJP","WATERS",2646
"NSW",138,"PAGE","Page","CDP","WALKER",1992
"NSW",138,"PAGE","Page","","Informal",5397
"NSW",139,"PARK","Parkes","","Informal",5847
"NSW",139,"PARK","Parkes","NP","COULTON",47692
"NSW",139,"PARK","Parkes","GRN","PAULL",3921
"NSW",139,"PARK","Parkes","ALP","AYOUB",22135
"NSW",139,"PARK","Parkes","LDP","JONES",7568
"NSW",139,"PARK","Parkes","UAPP","VAN DER STEEN",5906
"NSW",139,"PARK","Parkes","IND","LANDERS",6730
"NSW",140,"PARR","Parramatta","","Informal",7739
"NSW",140,"PARR","Parramatta","SEP","GRENFELL",702
"NSW",140,"PARR","Parramatta","GRN","BRADLEY",6131
"NSW",140,"PARR","Parramatta","ALP","OWENS",38171
"NSW",140,"PARR","Parramatta","UAPP","LOKE",2186
"NSW",140,"PARR","Parramatta","LP","CAMENZULI",34954
"NSW",140,"PARR","Parramatta","CDP","PAYARA",2526
"NSW",249,"PATE","Paterson","ON","TURNER",15269
"NSW",249,"PATE","Paterson","","Informal",6694
"NSW",249,"PATE","Paterson","ALP","SWANSON",44288
"NSW",249,"PATE","Paterson","GRN","DAVIS",7439
"NSW",249,"PATE","Paterson","LP","JOSHI",35059
"NSW",249,"PATE","Paterson","UAPP","BURSTON",3888
"NSW",249,"PATE","Paterson","CDP","VALE",1876
"NSW",144,"REID","Reid","","Informal",6119
"NSW",144,"REID","Reid","GRN","JAGO",7575
"NSW",144,"REID","Reid","ALP","CROSBY",34872
"NSW",144,"REID","Reid","UAPP","LEE",1797
"NSW",144,"REID","Reid","AJP","LAXMANALAL",1861
"NSW",144,"REID","Reid","LP","MARTIN",45288
"NSW",144,"REID","Reid","CDP","PIPER",2335
"NSW",145,"RICH","Richmond","","Informal",8061
"NSW",145,"RICH","Richmond","NP","FRASER",36979
"NSW",145,"RICH","Richmond","GRN","LYON",20384
"NSW",145,"RICH","Richmond","SPP","McDONALD",3154
"NSW",145,"RICH","Richmond","ALP","ELLIOT",31807
"NSW",145,"RICH","Richmond","UAPP","MITCHELL",3913
"NSW",145,"RICH","Richmond","CDP","COX",1338
"NSW",145,"RICH","Richmond","IMO","BARNETT",1179
"NSW",145,"RICH","Richmond","IND","KARAM",1566
"NSW",250,"RIVE","Riverina","","Informal",5489
"NSW",250,"RIVE","Riverina","GRN","BAYLES",6254
"NSW",250,"RIVE","Riverina","NP","McCORMACK",60493
"NSW",250,"RIVE","Riverina","UAPP","FOLEY",10814
"NSW",250,"RIVE","Riverina","ALP","JEFFRESON",23380
"NSW",146,"ROBE","Robertson","","Informal",7493
"NSW",146,"ROBE","Robertson","SPP","SINGER",1719
"NSW",146,"ROBE","Robertson","GRN","CONNOR",7601
"NSW",146,"ROBE","Robertson","ALP","CHARLTON",32761
"NSW",146,"ROBE","Robertson","UAPP","MARKS",2702
"NSW",146,"ROBE","Robertson","AJP","BREMNER YOUNG",2000
